question_name,tag1,tag2,tag3
数组列表中的最大距离,贪心,数组,None
最小因式分解,贪心,数学,None
换座位,数据库,None,None
变更性别,数据库,None,None
三个数的最大乘积,数组,数学,排序
K 个逆序对数组,动态规划,None,None
课程表 III,贪心,数组,排序
设计 Excel 求和公式,图,设计,拓扑排序
最小区间,贪心,数组,哈希表
平方数之和,数学,双指针,二分查找
寻找数组的错位排列,数学,动态规划,None
设计日志存储系统,设计,哈希表,字符串
函数的独占时间,栈,数组,None
二叉树的层平均值,树,深度优先搜索,广度优先搜索
大礼包,位运算,记忆化搜索,数组
解码方法 II,字符串,动态规划,None
求解方程,数学,字符串,模拟
设计搜索自动补全系统,设计,字典树,字符串
子数组最大平均数 I,数组,滑动窗口,None
子数组最大平均数 II,数组,二分查找,前缀和
错误的集合,位运算,数组,哈希表
最长数对链,贪心,数组,动态规划
回文子串,字符串,动态规划,None
单词替换,字典树,数组,哈希表
Dota2 参议院,贪心,队列,字符串
两个键的键盘,数学,动态规划,None
四个键的键盘,数学,动态规划,None
寻找重复的子树,树,深度优先搜索,哈希表
两数之和 IV - 输入二叉搜索树,树,深度优先搜索,广度优先搜索
最大二叉树,栈,树,数组
输出二叉树,树,深度优先搜索,广度优先搜索
金币路径,数组,动态规划,None
机器人能否返回原点,字符串,模拟,None
找到 K 个最接近的元素,数组,双指针,二分查找
分割数组为连续子序列,贪心,数组,哈希表
移除 9,数学,None,None
图片平滑器,数组,矩阵,None
二叉树最大宽度,树,深度优先搜索,广度优先搜索
均匀树划分,树,深度优先搜索,二叉树
奇怪的打印机,字符串,动态规划,None
非递减数列,数组,None,None
路径总和 IV,树,深度优先搜索,数组
优美的排列 II,数组,数学,None
乘法表中第k小的数,数学,二分查找,None
修剪二叉搜索树,树,深度优先搜索,二叉搜索树
最大交换,贪心,数学,None
二叉树中第二小的节点,树,深度优先搜索,二叉树
灯泡开关 Ⅱ,位运算,深度优先搜索,广度优先搜索
最长递增子序列的个数,树状数组,线段树,数组
最长连续递增序列,数组,None,None
为高尔夫比赛砍树,广度优先搜索,数组,矩阵
实现一个魔法字典,深度优先搜索,设计,字典树
键值映射,设计,字典树,哈希表
有效的括号字符串,栈,贪心,字符串
24 点游戏,数组,数学,回溯
验证回文串 II,贪心,双指针,字符串
最近时刻,哈希表,字符串,回溯
棒球比赛,栈,数组,模拟
K 个关闭的灯泡,树状数组,数组,有序集合
冗余连接,深度优先搜索,广度优先搜索,并查集
冗余连接 II,深度优先搜索,广度优先搜索,并查集
重复叠加字符串匹配,字符串,字符串匹配,None
最长同值路径,树,深度优先搜索,二叉树
骑士在棋盘上的概率,动态规划,None,None
三个无重叠子数组的最大和,数组,动态规划,None
员工的重要性,树,深度优先搜索,广度优先搜索
贴纸拼词,位运算,数组,字符串
前K个高频单词,字典树,哈希表,字符串
交替位二进制数,位运算,None,None
不同岛屿的数量,深度优先搜索,广度优先搜索,并查集
岛屿的最大面积,深度优先搜索,广度优先搜索,并查集
计数二进制子串,双指针,字符串,None
数组的度,数组,哈希表,None
划分为k个相等的子集,位运算,记忆化搜索,数组
掉落的方块,线段树,数组,有序集合
不同岛屿的数量 II,深度优先搜索,广度优先搜索,并查集
两个字符串的最小ASCII删除和,字符串,动态规划,None
乘积小于 K 的子数组,数组,滑动窗口,None
买卖股票的最佳时机含手续费,贪心,数组,动态规划
Range 模块,设计,线段树,有序集合
最大栈,栈,设计,链表
1 比特与 2 比特字符,数组,None,None
最长重复子数组,数组,二分查找,动态规划
找出第 K 小的数对距离,数组,双指针,二分查找
词典中最长的单词,字典树,数组,哈希表
账户合并,深度优先搜索,广度优先搜索,并查集
删除注释,数组,字符串,None
粉碎糖果,数组,双指针,矩阵
寻找数组的中心下标,数组,前缀和,None
分隔链表,链表,None,None
原子的数量,栈,哈希表,字符串
最小窗口子序列,字符串,动态规划,滑动窗口
自除数,数学,None,None
我的日程安排表 I,设计,线段树,二分查找
统计不同回文子序列,字符串,动态规划,None
我的日程安排表 II,设计,线段树,二分查找
我的日程安排表 III,设计,线段树,二分查找
图像渲染,深度优先搜索,广度优先搜索,数组
句子相似性,数组,哈希表,字符串
小行星碰撞,栈,数组,模拟
Lisp 语法解析,栈,递归,哈希表
句子相似性 II,深度优先搜索,广度优先搜索,并查集
单调递增的数字,贪心,数学,None
每日温度,栈,数组,单调栈
删除并获得点数,数组,哈希表,动态规划
摘樱桃,数组,动态规划,矩阵
转换成小写字母,字符串,None,None
二叉树最近的叶节点,树,深度优先搜索,广度优先搜索
网络延迟时间,深度优先搜索,广度优先搜索,图
寻找比目标字母大的最小字母,数组,二分查找,None
前缀和后缀搜索,设计,字典树,哈希表
使用最小花费爬楼梯,数组,动态规划,None
至少是其他数字两倍的最大数,数组,排序,None
最短补全词,数组,哈希表,字符串
隔离病毒,深度优先搜索,广度优先搜索,数组
角矩形的数量,数组,数学,动态规划
IP 到 CIDR,位运算,字符串,None
打开转盘锁,广度优先搜索,数组,哈希表
破解保险箱,深度优先搜索,图,欧拉回路
到达终点数字,数学,二分查找,None
倒水,数组,模拟,None
金字塔转换矩阵,位运算,深度优先搜索,广度优先搜索
将二叉搜索树转化为排序的双向链表,栈,树,深度优先搜索
设置交集大小至少为2,贪心,数组,排序
字符串中的加粗单词,字典树,数组,哈希表
员工空闲时间,数组,排序,堆（优先队列）
找出变位映射,数组,哈希表,None
特殊的二进制序列,递归,字符串,None
N 叉树的层序遍历,树,广度优先搜索,None
序列化和反序列化 N 叉树,树,深度优先搜索,广度优先搜索
扁平化多级双向链表,深度优先搜索,链表,双向链表
二进制表示中质数个计算置位,位运算,数学,None
划分字母区间,贪心,哈希表,双指针
最大加号标志,数组,动态规划,None
情侣牵手,贪心,深度优先搜索,广度优先搜索
将 N 叉树编码为二叉树,树,深度优先搜索,广度优先搜索
建立四叉树,树,数组,分治
四叉树交集,树,分治,None
N 叉树的最大深度,树,深度优先搜索,广度优先搜索
N 叉树的前序遍历,栈,树,深度优先搜索
N 叉树的后序遍历,栈,树,深度优先搜索
托普利茨矩阵,数组,矩阵,None
重构字符串,贪心,哈希表,字符串
最多能完成排序的块 II,栈,贪心,数组
最多能完成排序的块,栈,贪心,数组
基本计算器 IV,栈,递归,哈希表
宝石与石头,哈希表,字符串,None
二叉搜索树中的搜索,树,二叉搜索树,二叉树
二叉搜索树中的插入操作,树,二叉搜索树,二叉树
基本计算器 III,栈,递归,数学
搜索长度未知的有序数组,数组,二分查找,交互
滑动谜题,广度优先搜索,数组,矩阵
最小化去加油站的最大距离,数组,二分查找,None
数据流中的第 K 大元素,树,设计,二叉搜索树
全局倒置与局部倒置,数组,数学,None
拆分二叉搜索树,树,二叉搜索树,递归
二分查找,数组,二分查找,None
在LR字符串中交换相邻字符,双指针,字符串,None
水位上升的泳池中游泳,深度优先搜索,广度优先搜索,并查集
第K个语法符号,位运算,递归,数学
到达终点,数学,None,None
森林中的兔子,贪心,数组,哈希表
变为棋盘,位运算,数组,数学
二叉搜索树节点最小距离,树,深度优先搜索,广度优先搜索
字母大小写全排列,位运算,字符串,回溯
判断二分图,深度优先搜索,广度优先搜索,并查集
第 K 个最小的质数分数,数组,双指针,二分查找
K 站中转内最便宜的航班,深度优先搜索,广度优先搜索,图
旋转数字,数学,动态规划,None
逃脱阻碍者,数组,数学,None
多米诺和托米诺平铺,动态规划,None,None
自定义字符串排序,哈希表,字符串,排序
匹配子序列的单词数,字典树,数组,哈希表
阶乘函数后 K 个零,数学,二分查找,None
有效的井字游戏,数组,矩阵,None
区间子数组个数,数组,双指针,None
旋转字符串,字符串,字符串匹配,None
所有可能的路径,深度优先搜索,广度优先搜索,图
得分最高的最小轮调,数组,前缀和,None
香槟塔,动态规划,None,None
设计哈希集合,设计,数组,哈希表
设计哈希映射,设计,数组,哈希表
相似 RGB 颜色,数学,字符串,枚举
使序列递增的最小交换次数,数组,动态规划,None
找到最终的安全状态,深度优先搜索,广度优先搜索,图
打砖块,并查集,数组,矩阵
唯一摩尔斯密码词,数组,哈希表,字符串
数组的均值分割,位运算,数组,数学
写字符串需要的行数,数组,字符串,None
保持城市天际线,贪心,数组,矩阵
分汤,数学,动态规划,概率与统计
情感丰富的文字,数组,双指针,字符串
黑板异或游戏,位运算,脑筋急转弯,数组
子域名访问计数,数组,哈希表,字符串
最大三角形面积,几何,数组,数学
最大平均值和的分组,数组,动态规划,前缀和
二叉树剪枝,树,深度优先搜索,二叉树
公交路线,广度优先搜索,数组,哈希表
模糊坐标,字符串,回溯,枚举
链表组件,数组,哈希表,链表
赛车,动态规划,None,None
最常见的单词,数组,哈希表,字符串
设计链表,设计,链表,None
单词的压缩编码,字典树,数组,哈希表
字符的最短距离,数组,双指针,字符串
翻转卡片游戏,数组,哈希表,None
带因子的二叉树,数组,哈希表,动态规划
循环有序列表的插入,链表,None,None
山羊拉丁文,字符串,None,None
适龄的朋友,数组,双指针,二分查找
安排工作以达到最大收益,贪心,数组,双指针
最大人工岛,深度优先搜索,广度优先搜索,并查集
统计子串中的唯一字符,哈希表,字符串,动态规划
连续整数求和,数学,枚举,None
较大分组的位置,字符串,None,None
隐藏个人信息,字符串,None,None
设计循环双端队列,设计,队列,数组
设计循环队列,设计,队列,数组
翻转图像,位运算,数组,双指针
字符串中的查找与替换,数组,字符串,排序
树中距离之和,树,深度优先搜索,图
图像重叠,数组,矩阵,None
扫地机器人,回溯,交互,None
矩形重叠,几何,数学,None
新 21 点,数学,动态规划,滑动窗口
推多米诺,双指针,字符串,动态规划
相似字符串组,深度优先搜索,广度优先搜索,并查集
矩阵中的幻方,数组,哈希表,数学
钥匙和房间,深度优先搜索,广度优先搜索,图
将数组拆分成斐波那契序列,字符串,回溯,None
猜猜这个单词,数组,数学,字符串
比较含退格的字符串,栈,双指针,字符串
数组中的最长山脉,数组,双指针,动态规划
一手顺子,贪心,数组,哈希表
访问所有节点的最短路径,位运算,广度优先搜索,图
字母移位,数组,字符串,前缀和
到最近的人的最大距离,数组,None,None
矩形面积 II,线段树,数组,有序集合
喧闹和富有,深度优先搜索,图,拓扑排序
山脉数组的峰顶索引,数组,二分查找,None
车队,栈,数组,排序
相似度为 K 的字符串,广度优先搜索,字符串,None
考场就座,设计,有序集合,堆（优先队列）
括号的分数,栈,字符串,None
雇佣 K 名工人的最低成本,贪心,数组,排序
镜面反射,几何,数学,数论
亲密字符串,哈希表,字符串,None
柠檬水找零,贪心,数组,None
翻转矩阵后的得分,贪心,位运算,数组
和至少为 K 的最短子数组,队列,数组,二分查找
二叉树中所有距离为 K 的结点,树,深度优先搜索,广度优先搜索
黑名单中的随机数,数组,哈希表,数学
获取所有钥匙的最短路径,位运算,广度优先搜索,数组
具有所有最深节点的最小子树,树,深度优先搜索,广度优先搜索
回文质数,数学,数论,None
转置矩阵,数组,矩阵,模拟
二进制间距,位运算,None,None
重新排序得到 2 的幂,哈希表,数学,计数
优势洗牌,贪心,数组,双指针
最低加油次数,贪心,数组,动态规划
用 Rand7() 实现 Rand10(),数学,拒绝采样,概率与统计
叶子相似的树,树,深度优先搜索,二叉树
最长的斐波那契子序列的长度,数组,哈希表,动态规划
模拟行走机器人,数组,哈希表,模拟
爱吃香蕉的珂珂,数组,二分查找,None
链表的中间结点,链表,双指针,None
石子游戏,数组,数学,动态规划
第 N 个神奇数字,数学,二分查找,None
盈利计划,数组,动态规划,None
按权重随机选择,数组,数学,二分查找
随机翻转矩阵,水塘抽样,哈希表,数学
非重叠矩形中的随机点,水塘抽样,数组,数学
在圆内随机生成点,几何,数学,拒绝采样
索引处的解码字符串,栈,字符串,None
救生艇,贪心,数组,双指针
细分图中的可到达节点,图,最短路,堆（优先队列）
三维形体投影面积,几何,数组,数学
两句话中的不常见单词,哈希表,字符串,None
螺旋矩阵 III,数组,矩阵,模拟
可能的二分法,深度优先搜索,广度优先搜索,并查集
鸡蛋掉落,数学,二分查找,动态规划
公平的糖果交换,数组,哈希表,二分查找
根据前序和后序遍历构造二叉树,树,数组,哈希表
查找和替换模式,数组,哈希表,字符串
子序列宽度之和,数组,数学,排序
三维形体的表面积,几何,数组,数学
特殊等价字符串组,数组,哈希表,字符串
所有可能的真二叉树,树,递归,记忆化搜索
最大频率栈,栈,设计,哈希表
单调数列,数组,None,None
递增顺序搜索树,栈,树,深度优先搜索
子数组按位或操作,位运算,数组,动态规划
有序队列,数学,字符串,排序
RLE 迭代器,设计,数组,计数
股票价格跨度,栈,设计,数据流
最大为 N 的数字组合,数组,数学,字符串
DI 序列的有效排列,字符串,动态规划,前缀和
水果成篮,数组,哈希表,滑动窗口
按奇偶排序数组,数组,双指针,排序
超级回文数,数学,枚举,None
子数组的最小值之和,栈,数组,动态规划
最小差值 I,数组,数学,None
蛇梯棋,广度优先搜索,数组,矩阵
最小差值 II,贪心,数组,数学
在线选举,设计,数组,哈希表
排序数组,数组,分治,桶排序
猫和老鼠,图,拓扑排序,记忆化搜索
卡牌分组,数组,哈希表,数学
分割数组,数组,None,None
单词子集,数组,哈希表,字符串
仅仅反转字母,双指针,字符串,None
环形子数组的最大和,队列,数组,分治
完全二叉树插入器,树,广度优先搜索,设计
播放列表的数量,数学,动态规划,组合数学
使括号有效的最少添加,栈,贪心,字符串
按奇偶排序数组 II,数组,双指针,排序
三数之和的多种可能,数组,哈希表,双指针
尽量减少恶意软件的传播,深度优先搜索,广度优先搜索,并查集
长按键入,双指针,字符串,None
将字符串翻转到单调递增,字符串,动态规划,None
三等分,数组,数学,None
尽量减少恶意软件的传播 II,深度优先搜索,广度优先搜索,并查集
独特的电子邮件地址,数组,哈希表,字符串
和相同的二元子数组,数组,哈希表,前缀和
下降路径最小和,数组,动态规划,矩阵
漂亮数组,数组,数学,分治
最近的请求次数,设计,队列,数据流
最短的桥,深度优先搜索,广度优先搜索,数组
骑士拨号器,动态规划,None,None
戳印序列,栈,贪心,队列
重新排列日志文件,数组,字符串,排序
二叉搜索树的范围和,树,深度优先搜索,二叉搜索树
最小面积矩形,几何,数组,哈希表
不同的子序列 II,字符串,动态规划,None
有效的山脉数组,数组,None,None
增减字符串匹配,贪心,数组,双指针
最短超级串,位运算,数组,字符串
删列造序,数组,字符串,None
使数组唯一的最小增量,贪心,数组,计数
验证栈序列,栈,数组,模拟
移除最多的同行或同列石头,深度优先搜索,并查集,图
令牌放置,贪心,数组,双指针
给定数字能组成的最大时间,数组,字符串,枚举
按递增顺序显示卡牌,队列,数组,排序
翻转等价二叉树,树,深度优先搜索,二叉树
按公因数计算最大组件大小,并查集,数组,哈希表
验证外星语词典,数组,哈希表,字符串
二倍数对数组,贪心,数组,哈希表
删列造序 II,贪心,数组,字符串
最高的广告牌,数组,动态规划,None
N 天后的牢房,位运算,数组,哈希表
二叉树的完全性检验,树,广度优先搜索,二叉树
由斜杠划分区域,深度优先搜索,广度优先搜索,并查集
删列造序 III,数组,字符串,动态规划
在长度 2N 的数组中找出重复 N 次的元素,数组,哈希表,None
最大宽度坡,栈,数组,单调栈
最小面积矩形 II,几何,数组,数学
表示数字的最少运算符,记忆化搜索,数学,动态规划
单值二叉树,树,深度优先搜索,广度优先搜索
元音拼写检查器,数组,哈希表,字符串
连续差相同的数字,广度优先搜索,回溯,None
监控二叉树,树,深度优先搜索,动态规划
煎饼排序,贪心,数组,双指针
强整数,哈希表,数学,枚举
翻转二叉树以匹配先序遍历,树,深度优先搜索,二叉树
相等的有理数,数学,字符串,None
斐波那契数,递归,记忆化搜索,数学
最接近原点的 K 个点,几何,数组,数学
和可被 K 整除的子数组,数组,哈希表,前缀和
奇偶跳,栈,数组,动态规划
三角形的最大周长,贪心,数组,数学
有序数组的平方,数组,双指针,排序
最长湍流子数组,数组,动态规划,滑动窗口
在二叉树中分配硬币,树,深度优先搜索,二叉树
不同路径 III,位运算,数组,回溯
基于时间的键值存储,设计,哈希表,字符串
按位与为零的三元组,位运算,数组,哈希表
最低票价,数组,动态规划,None
不含 AAA 或 BBB 的字符串,贪心,字符串,None
查询后的偶数和,数组,模拟,None
区间列表的交集,数组,双指针,None
二叉树的垂序遍历,树,深度优先搜索,广度优先搜索
从叶结点开始的最小字符串,树,深度优先搜索,字符串
数组形式的整数加法,数组,数学,None
等式方程的可满足性,并查集,图,数组
坏了的计算器,贪心,数学,None
K 个不同整数的子数组,数组,哈希表,计数
二叉树的堂兄弟节点,树,深度优先搜索,广度优先搜索
腐烂的橘子,广度优先搜索,数组,矩阵
K 连续位的最小翻转次数,位运算,队列,数组
正方形数组的数目,位运算,数组,数学
找到小镇的法官,图,数组,哈希表
最大二叉树 II,树,二叉树,None
可以被一步捕获的棋子数,数组,矩阵,模拟
合并石头的最低成本,数组,动态规划,前缀和
网格照明,数组,哈希表,None
查找共用字符,数组,哈希表,字符串
检查替换后的词是否有效,栈,字符串,None
最大连续1的个数 III,数组,二分查找,前缀和
K 次取反后最大化的数组和,贪心,数组,排序
笨阶乘,栈,数学,模拟
行相等的最少多米诺旋转,贪心,数组,None
前序遍历构造二叉搜索树,栈,树,二叉搜索树
形成字符串的最短路径,贪心,双指针,字符串
校园自行车分配,贪心,数组,排序
最小化舍入误差以满足目标,贪心,数组,数学
十进制整数的反码,位运算,None,None
总持续时间可被 60 整除的歌曲,数组,哈希表,计数
在 D 天内送达包裹的能力,数组,二分查找,None
至少有 1 位重复的数字,数学,动态规划,None
按字典序排列最小的等效字符串,并查集,字符串,None
有序数组中的缺失元素,数组,二分查找,None
最长重复子串,字符串,二分查找,动态规划
有效子数组的数目,栈,数组,单调栈
将数组分成和相等的三个部分,贪心,数组,None
最佳观光组合,数组,动态规划,None
可被 K 整除的最小整数,哈希表,数学,None
子串能表示从 1 到 N 数字的二进制串,字符串,None,None
不动点,数组,二分查找,None
校园自行车分配 II,位运算,数组,动态规划
范围内的数字计数,数学,动态规划,None
易混淆数,数学,None,None
负二进制转换,数学,None,None
可被 5 整除的二进制前缀,位运算,数组,None
链表中的下一个更大节点,栈,数组,链表
飞地的数量,深度优先搜索,广度优先搜索,并查集
前五科的均分,数组,哈希表,排序
字符串的索引对,字典树,数组,字符串
花括号展开,广度优先搜索,字符串,回溯
易混淆数 II,数学,回溯,None
删除最外层的括号,栈,字符串,None
从根到叶的二进制数之和,树,深度优先搜索,二叉树
驼峰式匹配,字典树,数组,双指针
视频拼接,贪心,数组,动态规划
最小元素各数位之和,数组,数学,None
小于 K 的两数之和,数组,双指针,二分查找
长度为 K 的无重复字符子串,哈希表,字符串,滑动窗口
彼此熟识的最早时间,并查集,数组,排序
除数博弈,脑筋急转弯,数学,动态规划
最长等差数列,数组,哈希表,二分查找
一月有多少天,数学,None,None
删去字符串中的元音,字符串,None,None
阿姆斯特朗数,数学,None,None
子树的最大平均值,树,深度优先搜索,二叉树
节点与其祖先之间的最大差值,树,深度优先搜索,二叉树
从先序遍历还原二叉树,树,深度优先搜索,字符串
距离顺序排列矩阵单元格,几何,数组,数学
两地调度,贪心,数组,排序
两个非重叠子数组的最大和,数组,动态规划,滑动窗口
字符流,设计,字典树,数组
最大唯一数,数组,哈希表,排序
得分最高的路径,深度优先搜索,广度优先搜索,并查集
最低成本连通所有城市,并查集,图,最小生成树
并行课程,图,拓扑排序,None
检查一个数是否在数组中占绝大多数,数组,二分查找,None
移动石子直到连续,脑筋急转弯,数学,None
边界着色,深度优先搜索,广度优先搜索,数组
不相交的线,数组,动态规划,None
逃离大迷宫,深度优先搜索,广度优先搜索,数组
最少交换次数来组合所有的 1,数组,滑动窗口,None
用户网站访问行为分析,数组,哈希表,排序
多边形三角剖分的最低得分,数组,动态规划,None
拼写单词,数组,哈希表,字符串
移动石子直到连续 II,数组,数学,双指针
从二叉搜索树到更大和树,树,深度优先搜索,二叉搜索树
有效的回旋镖,几何,数组,数学
最大层内元素和,树,深度优先搜索,广度优先搜索
地图分析,广度优先搜索,数组,动态规划
将数组分成几个递增序列,数组,计数,None
困于环中的机器人,数学,字符串,模拟
不邻接植花,深度优先搜索,广度优先搜索,图
分隔数组以得到最大和,数组,动态规划,None
最长重复子串,字符串,二分查找,后缀数组
单行键盘,哈希表,字符串,None
字符串转化,哈希表,字符串,None
设计文件系统,设计,字典树,哈希表
连接木棍的最低费用,贪心,数组,堆（优先队列）
最后一块石头的重量,数组,堆（优先队列）,None
删除字符串中的所有相邻重复项,栈,字符串,None
最长字符串链,数组,哈希表,双指针
最后一块石头的重量 II,数组,动态规划,None
统计只含单一字母的子串,数学,字符串,None
前后拼接,数组,哈希表,字符串
按字典序排在最后的子串,双指针,字符串,None
与目标颜色间的最短距离,数组,二分查找,动态规划
买下所有产品的客户,数据库,None,None
合作过至少三次的演员和导演,数据库,None,None
高度检查器,数组,计数排序,排序
爱生气的书店老板,数组,滑动窗口,None
交换一次的先前排列,贪心,数组,None
距离相等的条形码,贪心,数组,哈希表
最多可以买到的苹果数量,贪心,数组,排序
进击的骑士,广度优先搜索,None,None
找出所有行中最小公共元素,数组,哈希表,二分查找
水资源分配优化,并查集,图,最小生成树
元素和为目标值的子矩阵数量,数组,哈希表,矩阵
字符串的最大公因子,数学,字符串,None
按列翻转得到最大值等行数,数组,哈希表,矩阵
负二进制数相加,数组,数学,None
三个有序数组的交集,数组,哈希表,二分查找
查找两棵二叉搜索树之和,栈,树,深度优先搜索
步进数,广度优先搜索,回溯,None
矩阵中 1 的最大数量,贪心,堆（优先队列）,None
产品销售分析 I,数据库,None,None
产品销售分析 II,数据库,None,None
产品销售分析 III,数据库,None,None
Bigram 分词,字符串,None,None
根到叶路径上的不足节点,树,深度优先搜索,二叉树
不同字符的最小子序列,栈,贪心,字符串
活字印刷,哈希表,字符串,回溯
项目员工 I,数据库,None,None
项目员工II,数据库,None,None
项目员工 III,数据库,None,None
等差数列中缺失的数字,数组,数学,None
安排会议日程,数组,双指针,排序
抛掷硬币,数组,数学,动态规划
建造街区的最短时间,贪心,数组,数学
复写零,数组,双指针,None
受标签影响的最大值,贪心,数组,哈希表
最短公共超序列,字符串,动态规划,None
二进制矩阵中的最短路径,广度优先搜索,数组,矩阵
销售分析 I ,数据库,None,None
销售分析 II,数据库,None,None
销售分析III,数据库,None,None
数组变换,数组,模拟,None
力扣排行榜,设计,哈希表,排序
树的直径,树,深度优先搜索,广度优先搜索
验证回文串 III,字符串,动态规划,None
游戏玩法分析 I,数据库,None,None
游戏玩法分析 II,数据库,None,None
游戏玩法分析 III,数据库,None,None
游戏玩法分析 IV,数据库,None,None
大样本统计,数组,数学,概率与统计
拼车,数组,前缀和,排序
山脉数组中查找目标值,数组,二分查找,交互
H2O 生成,多线程,None,None
交替打印 FooBar,多线程,None,None
花括号展开 II,栈,广度优先搜索,字符串
加密数字,位运算,数学,字符串
最小公共区域,树,深度优先搜索,广度优先搜索
近义词句子,并查集,数组,哈希表
分享巧克力,数组,二分查找,None
游戏玩法分析 V,数据库,None,None
二叉树寻路,树,数学,二叉树
分糖果 II,数学,模拟,None
填充书架,数组,动态规划,None
解析布尔表达式,栈,递归,字符串
小众书籍,数据库,None,None
十六进制魔术数字,数学,字符串,None
删除区间,数组,None,None
删除树节点,树,深度优先搜索,广度优先搜索
删除回文子数组,数组,动态规划,None
按序打印,多线程,None,None
每日新用户统计,数据库,None,None
IP 地址无效化,字符串,None,None
航班预订统计,数组,前缀和,None
删点成林,树,深度优先搜索,数组
有效括号的嵌套深度,栈,字符串,None
设计有限阻塞队列,多线程,None,None
删除某些元素后的数组均值,数组,排序,None
字母组合迭代器,设计,字符串,回溯
顺次数,枚举,None,None
不相交的握手,数学,动态规划,None
每位学生的最高成绩,数据库,None,None
报告的记录,数据库,None,None
打印零与奇偶数,多线程,None,None
数组的相对排序,数组,哈希表,计数排序
最深叶节点的最近公共祖先,树,深度优先搜索,广度优先搜索
表现良好的最长时间段,栈,数组,哈希表
最小的必要团队,位运算,数组,动态规划
有序数组中出现次数超过25%的元素,数组,None,None
删除被覆盖区间,数组,排序,None
带阈值的图连通性,并查集,数组,数学
下降路径最小和  II,数组,动态规划,矩阵
查询活跃业务,数据库,None,None
用户购买平台,数据库,None,None
等价多米诺骨牌对的数量,数组,哈希表,计数
叶值的最小代价生成树,栈,贪心,数组
颜色交替的最短路径,广度优先搜索,图,None
绝对值表达式的最大值,数组,数学,None
将每个元素替换为右侧最大元素,数组,None,None
转变数组后最接近目标值的数组和,数组,二分查找,排序
矩形内船只的数目,数组,分治,交互
最大得分的路径数目,数组,动态规划,矩阵
第 N 个泰波那契数,记忆化搜索,数学,动态规划
报告的记录 II,数据库,None,None
字母板上的路径,哈希表,字符串,None
最大的以 1 为边界的正方形,数组,动态规划,矩阵
石子游戏 II,数组,数学,动态规划
解压缩编码列表,数组,None,None
矩阵区域和,数组,矩阵,前缀和
祖父节点值为偶数的节点和,树,深度优先搜索,广度优先搜索
不同的循环子字符串,字典树,字符串,哈希函数
查询近30天活跃用户数,数据库,None,None
