question_name,tag1,tag2,tag3
过去30天的用户活动 II,数据库,None,None
递减元素使数组呈锯齿状,贪心,数组,None
二叉树着色游戏,树,深度优先搜索,二叉树
快照数组,设计,数组,哈希表
最长公共子序列,字符串,动态规划,None
段式回文,贪心,双指针,字符串
破坏回文串,贪心,字符串,None
将矩阵按对角线排序,数组,矩阵,排序
层数最深叶子节点的和,树,深度优先搜索,广度优先搜索
翻转子数组得到最大的数组值,贪心,数组,数学
数组序号转换,数组,哈希表,排序
矩阵转换后的秩,并查集,图,拓扑排序
文章浏览 I,数据库,None,None
文章浏览 II,数据库,None,None
一年中的第几天,数学,字符串,None
单字符重复子串的最大长度,哈希表,字符串,滑动窗口
子数组中占绝大多数的元素,设计,树状数组,线段树
掷骰子等于目标和的方法数,动态规划,None,None
可以输入的最大单词数,哈希表,字符串,None
从链表中删去总和值为零的连续节点,哈希表,链表,None
市场分析 I,数据库,None,None
市场分析 II,数据库,None,None
餐盘栈,栈,设计,哈希表
网络爬虫,深度优先搜索,广度优先搜索,字符串
查询无效交易,数组,哈希表,字符串
比较字符串最小字母出现频次,数组,哈希表,字符串
日期之间隔几天,数学,字符串,None
验证二叉树,树,深度优先搜索,广度优先搜索
最接近的因数,数学,None,None
形成三的最大倍数,贪心,数组,动态规划
指定日期的产品价格,数据库,None,None
质数排列,数学,None,None
健身计划评估,数组,滑动窗口,None
构建回文串检测,位运算,数组,哈希表
猜字谜,位运算,字典树,数组
转变日期格式,字符串,None,None
四因数,数组,数学,None
将二叉搜索树变平衡,贪心,树,深度优先搜索
带限制的子序列和,队列,数组,动态规划
公交站间的距离,数组,None,None
删除一次得到子数组最大和,数组,动态规划,None
一周中的第几天,数学,None,None
使数组严格递增,数组,二分查找,动态规划
即时食物配送 I,数据库,None,None
即时食物配送 II,数据库,None,None
存在连续三个奇数的数组,数组,None,None
区间内查询数字的频率,设计,线段树,数组
收集足够苹果的最小花园周长,数学,二分查找,None
树节点的第 K 个祖先,树,深度优先搜索,广度优先搜索
“气球” 的最大数量,哈希表,字符串,计数
反转每对括号间的子串,栈,字符串,None
K 次串联后最大子数组之和,数组,动态规划,None
查找集群内的关键连接,深度优先搜索,图,双连通分量
重新格式化部门表,数据库,None,None
删除字符使字符串变好,字符串,None,None
得到目标值的最少行动次数,贪心,数学,None
最长快乐字符串,贪心,字符串,堆（优先队列）
队列中可以看到的人数,栈,数组,单调栈
最小绝对差,数组,排序,None
丑数 III,数学,二分查找,数论
交换字符串中的元素,深度优先搜索,广度优先搜索,并查集
项目管理,深度优先搜索,广度优先搜索,图
给植物浇水,数组,模拟,None
最大的幻方,数组,矩阵,前缀和
统计可以提取的工件,数组,哈希表,模拟
统计为蚁群构筑房间的不同顺序,树,图,拓扑排序
交替打印字符串,多线程,None,None
每月交易 I,数据库,None,None
锦标赛优胜者,数据库,None,None
独一无二的出现次数,数组,哈希表,None
删除字符串中的所有相邻重复项 II,栈,字符串,None
尽可能使字符串相等,字符串,二分查找,前缀和
穿过迷宫的最少移动次数,广度优先搜索,数组,矩阵
球会落何处,数组,矩阵,模拟
概率最大的路径,图,数组,最短路
向下取整数对和,数组,数学,二分查找
最后一个能进入巴士的人,数据库,None,None
每月交易 II,数据库,None,None
玩筹码,贪心,数组,数学
最长定差子序列,数组,哈希表,动态规划
黄金矿工,数组,回溯,矩阵
统计元音字母序列的数目,动态规划,None,None
将杂乱无章的数字排序,数组,排序,None
个位数字为 K 的整数之和,贪心,数学,动态规划
每个小孩最多能分到多少糖果,数组,二分查找,None
两个回文子字符串长度的最大乘积,字符串,哈希函数,滚动哈希
设计跳表,设计,链表,None
查询结果的质量和占比,数据库,None,None
查询球队积分,数据库,None,None
哲学家进餐,多线程,None,None
分割平衡字符串,贪心,字符串,计数
可以攻击国王的皇后,数组,矩阵,模拟
掷骰子模拟,数组,动态规划,None
最大相等频率,数组,哈希表,None
字符串的左右移,数组,数学,字符串
K 次操作后最大化顶端元素,贪心,数组,None
无向图中到环的距离,深度优先搜索,广度优先搜索,并查集
拼接数组的最大分数,数组,动态规划,None
缀点成线,几何,数组,数学
删除子文件夹,深度优先搜索,字典树,数组
替换子串得到平衡字符串,字符串,滑动窗口,None
规划兼职工作,数组,二分查找,动态规划
移除字母异位词后的结果数组,数组,哈希表,字符串
找出输掉零场或一场比赛的玩家,数组,哈希表,计数
美化数组的最少删除数,栈,贪心,数组
得到回文串的最少操作次数,贪心,树状数组,双指针
报告系统状态的连续日期,数据库,None,None
找出给定方程的正整数解,数学,双指针,二分查找
循环码排列,位运算,数学,回溯
串联字符串的最大长度,位运算,数组,字符串
铺瓷砖,回溯,None,None
飞机座位分配概率,脑筋急转弯,数学,动态规划
兼具大小写的最好英文字母,哈希表,字符串,枚举
同积元组,数组,哈希表,计数
第一个唯一数字,设计,队列,数组
堆叠长方体的最大高度,数组,动态规划,排序
多线程网页爬虫,深度优先搜索,广度优先搜索,多线程
交换字符使得字符串相同,贪心,数学,字符串
统计「优美子数组」,数组,哈希表,数学
移除无效的括号,栈,字符串,None
检查「好数组」,数组,数学,数论
至少有一个 1 的最左端列,数组,二分查找,交互
找到指定长度的回文数,数组,数学,None
卖木头块,记忆化搜索,数组,动态规划
每个帖子的评论数,数据库,None,None
奇数值单元格的数目,数组,数学,模拟
重构 2 行二进制矩阵,贪心,数组,矩阵
统计封闭岛屿的数目,深度优先搜索,广度优先搜索,并查集
得分最高的单词集合,位运算,数组,字符串
计算应缴税款总额,数组,模拟,None
单因数三元组,数学,None,None
找出适应屏幕的最大字号,数组,字符串,二分查找
建造纸牌屋的方法数,数学,动态规划,None
二维网格迁移,数组,矩阵,模拟
在受污染的二叉树中查找元素,树,深度优先搜索,广度优先搜索
可被三整除的最大和,贪心,数组,动态规划
推箱子,广度优先搜索,数组,矩阵
平均售价,数据库,None,None
数元素,数组,哈希表,None
找出两数组的不同,数组,哈希表,None
从栈中取出 K 个硬币的最大面值和,数组,动态规划,前缀和
网格中的最小路径代价,数组,动态规划,矩阵
访问所有点的最小时间,几何,数组,数学
统计参与通信的服务器,深度优先搜索,广度优先搜索,并查集
搜索推荐系统,字典树,数组,字符串
停在原地的方案数,动态规划,None,None
页面推荐,数据库,None,None
找出井字棋的获胜者,数组,哈希表,矩阵
不浪费原料的汉堡制作方案,数学,None,None
统计全为 1 的正方形子矩阵,数组,动态规划,矩阵
分割回文串 III,字符串,动态规划,None
逆序打印不可变链表,栈,递归,链表
向公司 CEO 汇报工作的所有人,数据库,None,None
整数的各位积和之差,数学,None,None
用户分组,数组,哈希表,None
使结果不超过阈值的最小除数,数组,二分查找,None
转化为全零矩阵的最少反转次数,位运算,广度优先搜索,数组
红绿灯路口,多线程,None,None
二进制链表转整数,链表,数学,None
元素和小于等于阈值的正方形的最大边长,数组,二分查找,矩阵
网格中的最短路径,广度优先搜索,数组,矩阵
学生们参加各科测试的次数,数据库,None,None
检查数组是否连贯,数组,哈希表,排序
公平分发饼干,位运算,数组,动态规划
数组变为有序的最小操作次数,贪心,动态规划,None
找到连续区间的开始和结束数字,数据库,None,None
统计位数为偶数的数字,数组,None,None
划分数组为连续数字的集合,贪心,数组,哈希表
子串的最大出现次数,哈希表,字符串,滑动窗口
你能从盒子里获得的最大糖果数,广度优先搜索,图,数组
不同国家的天气类型,数据库,None,None
和为零的 N 个不同整数,数组,数学,None
两棵二叉搜索树中的所有元素,树,深度优先搜索,二叉搜索树
跳跃游戏 III,深度优先搜索,广度优先搜索,数组
口算难题,数组,数学,字符串
找到一个数字的 K 美丽值,数学,字符串,滑动窗口
有向无环图中一个节点的所有祖先,深度优先搜索,广度优先搜索,图
判断给定的序列是否是二叉树从根到叶的路径,树,深度优先搜索,广度优先搜索
加密解密字符串,设计,字典树,数组
解码字母到整数映射,字符串,None,None
子数组异或查询,位运算,数组,前缀和
获取你好友已观看的视频,广度优先搜索,图,数组
让字符串成为回文串的最少插入次数,字符串,动态规划,None
求团队人数,数据库,None,None
不同性别每日分数总计,数据库,None,None
将整数转换为两个无零整数的和,数学,None,None
或运算的最小翻转次数,位运算,None,None
连通网络的操作次数,深度优先搜索,广度优先搜索,并查集
二指输入的的最小距离,字符串,动态规划,None
将数字变成 0 的操作次数,位运算,数学,None
大小为 K 且平均值大于等于阈值的子数组数目,数组,滑动窗口,None
时钟指针的夹角,数学,None,None
跳跃游戏 IV,广度优先搜索,数组,哈希表
6 和 9 组成的最大数字,贪心,数学,None
竖直打印单词,数组,字符串,模拟
删除给定值的叶子节点,树,深度优先搜索,二叉树
灌溉花园的最少水龙头数目,贪心,数组,动态规划
餐馆营业额变化增长,数据库,None,None
广告效果,数据库,None,None
删除回文子序列,双指针,字符串,None
餐厅过滤器,数组,排序,None
阈值距离内邻居最少的城市,图,动态规划,最短路
工作计划的最低难度,数组,动态规划,None
根据数字二进制下 1 的数目排序,位运算,数组,计数
每隔 n 个顾客打折,设计,数组,哈希表
包含所有三种字符的子字符串数目,哈希表,字符串,滑动窗口
有效的快递序列数目,数学,动态规划,组合数学
列出指定时间段内所有的下单产品,数据库,None,None
矩阵中战斗力最弱的 K 行,数组,二分查找,矩阵
数组大小减半,贪心,数组,哈希表
分裂二叉树的最大乘积,树,深度优先搜索,二叉树
跳跃游戏 V,数组,动态规划,排序
每次访问的交易次数,数据库,None,None
检查整数及其两倍数是否存在,数组,哈希表,双指针
制造字母异位词的最小步骤数,哈希表,字符串,计数
推文计数,设计,哈希表,二分查找
参加考试的最大学生数,位运算,数组,动态规划
上升下降字符串,哈希表,字符串,计数
每个元音包含偶数次的最长子字符串,位运算,哈希表,字符串
二叉树中的最长交错路径,树,深度优先搜索,动态规划
二叉搜索子树的最大键值和,树,深度优先搜索,二叉搜索树
统计有序矩阵中的负数,数组,二分查找,矩阵
最后 K 个数的乘积,设计,队列,数组
最多可以参加的会议数目,贪心,数组,排序
多次求和构造目标数组,数组,堆（优先队列）,None
电影评分,数据库,None,None
院系无效的学生,数据库,None,None
有多少小于当前数字的数字,数组,哈希表,计数
通过投票对团队排名,数组,哈希表,字符串
二叉树中的链表,树,深度优先搜索,广度优先搜索
使网格图至少有一条有效路径的最小代价,广度优先搜索,图,数组
两个数组间的距离值,数组,双指针,二分查找
安排电影院座位,贪心,位运算,数组
将整数按权重排序,记忆化搜索,动态规划,排序
3n 块披萨,贪心,数组,动态规划
生成每种字符都是奇数个的字符串,字符串,None,None
二进制字符串前缀一致的次数,数组,None,None
通知所有员工所需的时间,树,深度优先搜索,广度优先搜索
T 秒后青蛙的位置,树,深度优先搜索,广度优先搜索
活动参与者,数据库,None,None
顾客的可信联系人数量,数据库,None,None
矩阵中的幸运数,数组,矩阵,None
设计一个支持增量操作的栈,栈,设计,数组
找出克隆二叉树中的相同节点,树,深度优先搜索,广度优先搜索
最大的团队表现值,贪心,数组,排序
统计最大组的数目,哈希表,数学,None
圆和矩形是否有重叠,几何,数学,None
构造 K 个回文字符串,贪心,哈希表,字符串
做菜顺序,贪心,数组,动态规划
获取最近第二次的活动,数据库,None,None
按既定顺序创建目标数组,数组,模拟,None
检查网格中是否存在有效路径,深度优先搜索,广度优先搜索,并查集
最长快乐前缀,字符串,字符串匹配,哈希函数
使用唯一标识码替换员工ID,数据库,None,None
找出数组中的幸运数,数组,哈希表,计数
统计作战单位数,树状数组,数组,动态规划
设计地铁系统,设计,哈希表,字符串
找到所有好字符串,字符串,动态规划,字符串匹配
逐步求和得到正数的最小值,数组,前缀和,None
和为 K 的最少斐波那契数字数目,贪心,数学,None
长度为 n 的开心字符串中字典序第 k 小的字符串,字符串,回溯,None
恢复数组,字符串,动态规划,None
按年度列出销售总额,数据库,None,None
非递增顺序的最小子序列,贪心,数组,排序
将二进制表示减到 1 的步骤数,位运算,字符串,None
石子游戏 III,数组,数学,动态规划
股票的资本损益,数据库,None,None
数组中的字符串匹配,数组,字符串,字符串匹配
查询带键的排列,树状数组,数组,模拟
HTML 实体解析器,哈希表,字符串,None
给 N x 3 网格图涂色的方案数,动态规划,None,None
拥有最多糖果的孩子,数组,None,None
改变一个整数能得到的最大差值,贪心,数学,None
检查一个字符串是否可以打破另一个字符串,贪心,字符串,排序
每个人戴不同帽子的方案数,位运算,数组,动态规划
重新格式化字符串,字符串,None,None
点菜展示表,数组,哈希表,字符串
数青蛙,字符串,计数,None
生成数组,动态规划,前缀和,None
购买了产品 A 和产品 B 却没有购买产品 C 的顾客,数据库,None,None
分割字符串的最大得分,字符串,前缀和,None
可获得的最大点数,数组,前缀和,滑动窗口
对角线遍历 II,数组,排序,堆（优先队列）
排名靠前的旅行者,数据库,None,None
连续字符,字符串,None,None
最简分数,数学,字符串,数论
统计二叉树中好节点的数目,树,深度优先搜索,广度优先搜索
数位成本和为目标值的最大数字,数组,动态规划,None
查找成绩处于中游的学生,数据库,None,None
旅行终点站,数组,哈希表,字符串
是否所有 1 都至少相隔 k 个元素,数组,None,None
绝对差不超过限制的最长连续子数组,队列,数组,有序集合
有序矩阵中的第 k 个最小数组和,数组,二分查找,矩阵
净现值查询,数据库,None,None
用栈操作构建数组,栈,数组,模拟
形成两个异或相等数组的三元组数目,位运算,数组,哈希表
收集树上所有苹果的最少时间,树,深度优先搜索,广度优先搜索
切披萨的方案数,记忆化搜索,数组,动态规划
通过翻转子数组使两个数组相等,数组,哈希表,排序
检查一个字符串是否包含所有长度为 K 的二进制子串,位运算,哈希表,字符串
课程表 IV,深度优先搜索,广度优先搜索,图
摘樱桃 II,数组,动态规划,矩阵
在既定时间做作业的学生人数,数组,None,None
重新排列句子中的单词,字符串,排序,None
收藏清单,数组,哈希表,字符串
圆形靶内的最大飞镖数量,几何,数组,数学
制作会话柱状图,数据库,None,None
计算布尔表达式的值,数据库,None,None
检查单词是否为句中其他单词的前缀,双指针,字符串,字符串匹配
定长子串中元音的最大数目,字符串,滑动窗口,None
二叉树中的伪回文路径,位运算,树,深度优先搜索
两个子序列的最大点积,数组,动态规划,None
商品折扣后的最终价格,栈,数组,单调栈
安排邮筒,数组,数学,动态规划
子矩形查询,设计,数组,矩阵
找两个和为目标值且不重叠的子数组,数组,哈希表,二分查找
数组中两元素的最大乘积,数组,排序,堆（优先队列）
切割后面积最大的蛋糕,贪心,数组,排序
重新规划路线,深度优先搜索,广度优先搜索,图
两个盒子中球的颜色数相同的概率,数组,数学,动态规划
苹果和桔子,数据库,None,None
活跃用户,数据库,None,None
重新排列数组,数组,None,None
数组中的 k 个最强值,数组,双指针,排序
设计浏览器历史记录,栈,设计,数组
粉刷房子 III,数组,动态规划,None
去掉最低工资和最高工资后的工资平均值,数组,排序,None
n 的第 k 个因子,数学,数论,None
删掉一个元素以后全为 1 的最长子数组,数组,动态规划,滑动窗口
并行课程 II,位运算,图,动态规划
一维数组的动态和,数组,前缀和,None
不同整数的最少数目,贪心,数组,哈希表
制作 m 束花所需的最少天数,数组,二分查找,None
矩形面积,数据库,None,None
计算税后工资,数据库,None,None
寻找所有的独生节点,树,深度优先搜索,广度优先搜索
数组异或操作,位运算,数学,None
保证文件名唯一,数组,哈希表,字符串
避免洪水泛滥,贪心,数组,哈希表
找到最小生成树里的关键边和伪关键边,并查集,图,最小生成树
子数组和排序后的区间和,数组,双指针,二分查找
三次操作后最大值与最小值的最小差,贪心,数组,排序
石子游戏 IV,数学,动态规划,博弈
删除链表 M 个节点之后的 N 个节点,链表,None,None
判断路径是否相交,哈希表,字符串,None
检查数组对是否可以被 k 整除,数组,哈希表,计数
满足条件的子序列数目,数组,双指针,二分查找
满足不等式的最大值,队列,数组,滑动窗口
周内每天的销售情况,数据库,None,None
克隆含随机指针的二叉树,树,深度优先搜索,广度优先搜索
按日期分组销售产品,数据库,None,None
判断能否形成等差数列,数组,排序,None
所有蚂蚁掉下来前的最后一刻,脑筋急转弯,数组,模拟
统计全 1 子矩形,栈,数组,动态规划
最多 K 次交换相邻数位后得到的最小整数,贪心,树状数组,线段树
在区间范围内统计奇数数目,数学,None,None
和为奇数的子数组数目,数组,数学,动态规划
字符串的好分割数目,位运算,字符串,动态规划
形成目标数组的子数组最少增加次数,栈,贪心,数组
克隆 N 叉树,树,深度优先搜索,广度优先搜索
好数对的数目,数组,哈希表,数学
仅含 1 的子串数,数学,字符串,None
压缩字符串 II,字符串,动态规划,None
服务中心的最佳位置,几何,数学,随机化
上月播放的儿童适宜电影,数据库,None,None
设计文件分享系统,设计,哈希表,数据流
可以放心投资的国家,数据库,None,None
换水问题,数学,模拟,None
子树中标签相同的节点数,树,深度优先搜索,广度优先搜索
最多的不重叠子字符串,贪心,字符串,None
找到最接近目标值的函数值,位运算,线段树,数组
第 k 个缺失的正整数,数组,二分查找,None
K 次操作转变字符串,哈希表,字符串,None
平衡括号字符串的最少插入次数,栈,贪心,字符串
和为目标值且不重叠的非空子数组的最大数目,贪心,数组,哈希表
找到 N 叉树的根节点,位运算,树,深度优先搜索
重新排列字符串,数组,字符串,None
最少的后缀翻转次数,贪心,字符串,None
好叶子节点对的数量,树,深度优先搜索,二叉树
消费者下单频率,数据库,None,None
移动 N 叉树的子树,树,深度优先搜索,None
统计好三元组,数组,枚举,None
找出数组游戏的赢家,数组,模拟,None
排布二进制网格的最少交换次数,贪心,数组,矩阵
最大得分,贪心,数组,双指针
千位分隔数,字符串,None,None
可以到达所有点的最少点数目,图,None,None
得到目标数组的最少函数调用次数,贪心,位运算,数组
二维网格图中探测环,深度优先搜索,广度优先搜索,并查集
查找拥有有效邮箱的用户,数据库,None,None
N 叉树的直径,树,深度优先搜索,None
整理字符串,栈,字符串,None
找出第 N 个二进制字符串中的第 K 位,递归,字符串,模拟
找出最长的超赞子字符串,位运算,哈希表,字符串
切棍子的最小成本,数组,动态规划,排序
患某种疾病的患者,数据库,None,None
最近的三笔订单,数据库,None,None
找到最大整数的索引,数组,二分查找,交互
使数组中所有元素相等的最小操作数,数学,None,None
两球之间的磁力,数组,二分查找,排序
吃掉 N 个橘子的最少天数,记忆化搜索,动态规划,None
矩阵对角线元素的和,数组,矩阵,None
分割字符串的方案数,数学,字符串,None
删除最短的子数组使剩余数组有序,栈,数组,双指针
统计所有可行路径,记忆化搜索,数组,动态规划
找出隐藏数组中出现次数最多的元素,数组,数学,交互
圆形赛道上经过次数最多的扇区,数组,模拟,None
你可以获得的最大硬币数目,贪心,数组,数学
查找大小为 M 的最新分组,数组,二分查找,模拟
石子游戏 V,数组,数学,动态规划
产品名称格式修复,数据库,None,None
图中最相似的路径,图,动态规划,None
每件商品的最新订单,数据库,None,None
重复至少 K 次且长度为 M 的模式,数组,枚举,None
乘积为正数的最长子数组长度,贪心,数组,动态规划
使陆地分离的最少天数,深度优先搜索,广度优先搜索,数组
将子数组重新排序得到同一个二叉搜索树的方案数,树,并查集,二叉搜索树
所有奇数长度子数组的和,数组,数学,前缀和
使数组和能被 P 整除,数组,哈希表,前缀和
所有排列中的最大和,贪心,数组,前缀和
奇怪的打印机 II,图,拓扑排序,数组
只有一个不同字符的字符串,哈希表,字符串,哈希函数
替换所有的问号,字符串,None,None
数的平方等于两数乘积的方法数,数组,哈希表,数学
使绳子变成彩色的最短时间,贪心,数组,字符串
保证图可完全遍历,并查集,图,None
银行账户概要,数据库,None,None
把箱子放进仓库里 I,贪心,数组,排序
二进制矩阵中的特殊位置,数组,矩阵,None
统计不开心的朋友,数组,模拟,None
连接所有点的最小费用,并查集,图,数组
检查字符串是否可以通过排序子字符串得到另一个字符串,贪心,字符串,排序
设计停车系统,设计,计数,模拟
警告一小时内使用相同员工卡大于等于三次的人,数组,哈希表,字符串
找到处理最多请求的服务器,贪心,数组,有序集合
给定行和列的和求可行矩阵,贪心,数组,矩阵
按月统计订单数与顾客数,数据库,None,None
两个稀疏向量的点积,设计,数组,哈希表
重新排列单词间的空格,字符串,None,None
拆分字符串使唯一子字符串的数目最大,哈希表,字符串,回溯
矩阵的最大非负积,数组,动态规划,矩阵
连通两组点的最小成本,位运算,数组,动态规划
仓库经理,数据库,None,None
把箱子放进仓库里 II,贪心,数组,排序
文件夹操作日志搜集器,栈,数组,字符串
经营摩天轮的最大利润,数组,模拟,None
王位继承顺序,树,深度优先搜索,设计
最多可达成的换楼请求数目,位运算,数组,回溯
进店却未进行过交易的顾客,数据库,None,None
大小为 K 的不重叠线段的数目,数学,动态规划,组合数学
网络信号最好的坐标,数组,枚举,None
猫和老鼠 II,图,拓扑排序,记忆化搜索
奇妙序列,设计,线段树,数学
二叉搜索树迭代器 II,栈,树,设计
特殊数组的特征值,数组,二分查找,排序
奇偶树,树,广度优先搜索,二叉树
使整数变为 0 的最少操作次数,位运算,记忆化搜索,动态规划
可见点的最大数目,几何,数组,数学
银行账户概要 II,数据库,None,None
每位顾客最经常订购的商品,数据库,None,None
根据中缀表达式构造二叉表达式树,栈,树,字符串
括号的最大嵌套深度,栈,字符串,None
最大网络秩,图,None,None
分割两个字符串得到回文串,双指针,字符串,None
统计子树中城市之间最大距离,位运算,树,动态规划
按照频率将数组升序排序,数组,哈希表,排序
两点之间不包含任何点的最宽垂直区域,数组,排序,None
统计只差一个字符的子串数目,哈希表,字符串,动态规划
通过给定词典构造目标字符串的方案数,数组,字符串,动态规划
找到二叉树中最近的右侧节点,树,广度优先搜索,二叉树
两个相同字符之间的最长子字符串,哈希表,字符串,None
执行操作后字典序最小的字符串,广度优先搜索,字符串,None
无矛盾的最佳球队,数组,动态规划,排序
没有卖出的卖家,数据库,None,None
检查两棵二叉表达式树是否等价,树,深度优先搜索,二叉树
按键持续时间最长的键,数组,字符串,None
等差子数组,数组,哈希表,排序
最小体力消耗路径,深度优先搜索,广度优先搜索,并查集
拆炸弹,数组,滑动窗口,None
使字符串平衡的最少删除次数,栈,字符串,动态规划
到家的最少跳跃次数,广度优先搜索,数组,动态规划
分配重复整数,位运算,数组,动态规划
找到遗失的ID,数据库,None,None
能否连接形成数组,数组,哈希表,None
统计字典序元音字符串的数目,数学,动态规划,组合数学
可以到达的最远建筑,贪心,数组,堆（优先队列）
三人国家代表队,数据库,None,None
最大重复子字符串,字符串,动态规划,字符串匹配
合并两个链表,链表,None,None
得到山形数组的最少删除次数,贪心,数组,二分查找
设计前中后队列,设计,队列,数组
设计带解析函数的表达式树,栈,树,设计
获取生成数组中的最大值,数组,模拟,None
字符频次唯一的最小删除次数,贪心,哈希表,字符串
销售价值减少的颜色球,贪心,数组,数学
通过指令创建有序数组,树状数组,线段树,数组
各赛事的用户注册率,数据库,None,None
求两个多项式链表的和,链表,数学,双指针
设计有序流,设计,数组,哈希表
将 x 减到 0 的最小操作数,数组,哈希表,二分查找
确定两个字符串是否接近,哈希表,字符串,计数
最大化网格幸福感,位运算,记忆化搜索,动态规划
Hopper 公司查询 I,数据库,None,None
二叉树的最近公共祖先 II,树,深度优先搜索,二叉树
检查两个字符串数组是否相等,数组,字符串,None
具有给定数值的最小字符串,贪心,字符串,None
生成平衡数组的方案数,数组,前缀和,None
完成所有任务的最少初始能量,贪心,数组,排序
Hopper 公司查询 II,数据库,None,None
统计一致字符串的数目,位运算,数组,哈希表
有序数组中差绝对值之和,数组,数学,前缀和
石子游戏 VI,贪心,数组,数学
从仓库到码头运输箱子,线段树,队列,数组
二叉树的最近公共祖先 III,树,哈希表,双指针
最富有客户的资产总量,数组,矩阵,None
找出最具竞争力的子序列,栈,贪心,数组
使数组互补的最少操作次数,数组,哈希表,前缀和
数组的最小偏移量,贪心,数组,有序集合
Hopper 公司查询 III,数据库,None,None
纠正二叉树,树,深度优先搜索,广度优先搜索
设计 Goal 解析器,字符串,None,None
K 和数对的最大数目,数组,哈希表,双指针
最小不兼容性,位运算,数组,动态规划
连接连续二进制数字,位运算,数学,模拟
每台机器的进程平均运行时间,数据库,None,None
无法吃午餐的学生数量,栈,队列,数组
平均等待时间,数组,模拟,None
修改后的最大二进制字符串,贪心,字符串,None
得到连续 K 个 1 的最少相邻交换次数,贪心,数组,前缀和
比赛中的配对次数,数学,模拟,None
十-二进制数的最少数目,贪心,字符串,None
石子游戏 VII,数组,数学,动态规划
数组中特殊等间距元素的和,数组,动态规划,None
改变二叉树的根节点,树,深度优先搜索,二叉树
修复表中的名字,数据库,None,None
重新格式化电话号码,字符串,None,None
删除子数组的最大得分,数组,哈希表,滑动窗口
跳跃游戏 VI,队列,数组,动态规划
检查边长度限制的路径是否存在,并查集,图,数组
